bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665044 counts_off = 2 period_off = 0.100372 rate_off = 19.9259 ratee_off = 14.0897 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665044 counts_on = 1 period_on = 0.100634 rate_on = 9.93695 ratee_on = 9.93695 temperature_on = -30.0
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665045 counts_off = 0 period_off = 0.10081 rate_off = 0 ratee_off = 0 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665045 counts_on = 0 period_on = 0.100969 rate_on = 0 ratee_on = 0 temperature_on = -30.0
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665046 counts_off = 1 period_off = 0.100172 rate_off = 9.98285 ratee_off = 9.98285 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665046 counts_on = 5 period_on = 0.100304 rate_on = 49.8485 ratee_on = 22.2929 temperature_on = -30.0
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665046 counts_off = 1 period_off = 0.100085 rate_off = 9.99152 ratee_off = 9.99152 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665047 counts_on = 3 period_on = 0.100556 rate_on = 29.8342 ratee_on = 17.2248 temperature_on = -30.0
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665047 counts_off = 0 period_off = 0.100634 rate_off = 0 ratee_off = 0 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665048 counts_on = 1 period_on = 0.100452 rate_on = 9.95503 ratee_on = 9.95503 temperature_on = -30.0
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665048 counts_off = 1 period_off = 0.100246 rate_off = 9.97543 ratee_off = 9.97543 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665049 counts_on = 0 period_on = 0.100635 rate_on = 0 ratee_on = 0 temperature_on = -30.0
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665049 counts_off = 0 period_off = 0.100464 rate_off = 0 ratee_off = 0 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665050 counts_on = 0 period_on = 0.10037 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665050 counts_off = 0 period_off = 0.100974 rate_off = 0 ratee_off = 0 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665051 counts_on = 0 period_on = 0.100708 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665051 counts_off = 0 period_off = 0.100957 rate_off = 0 ratee_off = 0 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665052 counts_on = 0 period_on = 0.100584 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665052 counts_off = 4 period_off = 0.100807 rate_off = 39.6797 ratee_off = 19.8398 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665052 counts_on = 1 period_on = 0.101031 rate_on = 9.89795 ratee_on = 9.89795 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665053 counts_off = 0 period_off = 0.100058 rate_off = 0 ratee_off = 0 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665053 counts_on = 1 period_on = 0.100516 rate_on = 9.9487 ratee_on = 9.9487 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665054 counts_off = 1 period_off = 0.100424 rate_off = 9.95776 ratee_off = 9.95776 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665054 counts_on = 0 period_on = 0.100518 rate_on = 0 ratee_on = 0 temperature_on = -30.1
bias_voltage = 48.300 bias_dac = 2522 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665055 counts_off = 1 period_off = 0.10123 rate_off = 9.87845 ratee_off = 9.87845 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665055 counts_on = 1 period_on = 0.100491 rate_on = 9.95112 ratee_on = 9.95112 temperature_on = -30.1
