Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1647879374
Base Time Fractional,.058820800
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-4.103919634679e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000279216329,Volt DC,1,T,2W,F,F,03/21/2022,16:16:14,.058820800
2,-3.134165496577e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099944816902,Volt DC,1,T,2W,F,F,03/21/2022,16:16:14,.603972940
3,-2.365915623137e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0199977047741,Volt DC,1,T,2W,F,F,03/21/2022,16:16:15,.148810180
4,-1.250991584628e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300022866577,Volt DC,1,T,2W,F,F,03/21/2022,16:16:15,.693647060
5,3.069383506041e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0400005802512,Volt DC,1,T,2W,F,F,03/21/2022,16:16:16,.238464160
6,2.265237997179e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0500102788210,Volt DC,1,T,2W,F,F,03/21/2022,16:16:16,.783287260
7,4.495252087233e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0600130558014,Volt DC,1,T,2W,F,F,03/21/2022,16:16:17,.328106140
8,7.486408715174e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0700144544244,Volt DC,1,T,2W,F,F,03/21/2022,16:16:17,.872956680
9,1.158298873483e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0800162851810,Volt DC,1,T,2W,F,F,03/21/2022,16:16:18,.417782840
10,1.655741654893e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0899856239557,Volt DC,1,T,2W,F,F,03/21/2022,16:16:18,.962617020
11,2.281084210409e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999903604388,Volt DC,1,T,2W,F,F,03/21/2022,16:16:19,.507443060
12,3.106380985773e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099914237857,Volt DC,1,T,2W,F,F,03/21/2022,16:16:20,.052255000
13,4.128780095591e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199955418706,Volt DC,1,T,2W,F,F,03/21/2022,16:16:20,.597093440
14,5.481654574702e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1299984008074,Volt DC,1,T,2W,F,F,03/21/2022,16:16:21,.141908340
15,7.178173055955e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1400013118982,Volt DC,1,T,2W,F,F,03/21/2022,16:16:21,.686724600
16,9.380894949729e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1500021964312,Volt DC,1,T,2W,F,F,03/21/2022,16:16:22,.231540600
17,1.21621668292e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1600090265274,Volt DC,1,T,2W,F,F,03/21/2022,16:16:22,.776359960
18,1.575589991809e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1700062304735,Volt DC,1,T,2W,F,F,03/21/2022,16:16:23,.321174540
19,2.036854462872e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1800102442503,Volt DC,1,T,2W,F,F,03/21/2022,16:16:23,.866000900
20,2.628722128861e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1900162398815,Volt DC,1,T,2W,F,F,03/21/2022,16:16:24,.410817020
21,3.384383884253e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2000191509724,Volt DC,1,T,2W,F,F,03/21/2022,16:16:24,.955640580
22,4.354964389108e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2100219279528,Volt DC,1,T,2W,F,F,03/21/2022,16:16:25,.500459860
23,5.597347474406e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2199916094542,Volt DC,1,T,2W,F,F,03/21/2022,16:16:26,.045274280
