Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1647886563
Base Time Fractional,.739048920
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-4.232654157721e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000073654082,Volt DC,1,T,2W,F,F,03/21/2022,18:16:03,.739048920
2,-4.513699830566e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099939545617,Volt DC,1,T,2W,F,F,03/21/2022,18:16:04,.283882720
3,-3.206039253523e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0199965164065,Volt DC,1,T,2W,F,F,03/21/2022,18:16:04,.828698840
4,-1.876897075259e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300017185509,Volt DC,1,T,2W,F,F,03/21/2022,18:16:05,.373533560
5,-3.241985672975e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0400005280972,Volt DC,1,T,2W,F,F,03/21/2022,18:16:05,.918355540
6,1.578346134345e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0500100739300,Volt DC,1,T,2W,F,F,03/21/2022,18:16:06,.463167980
7,4.004492570875e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0600117966533,Volt DC,1,T,2W,F,F,03/21/2022,18:16:07,.007989160
8,7.058224144041e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0700143799186,Volt DC,1,T,2W,F,F,03/21/2022,18:16:07,.552815740
9,1.104199995328e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0800157487392,Volt DC,1,T,2W,F,F,03/21/2022,18:16:08,.097641600
10,1.596977133866e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0899847745895,Volt DC,1,T,2W,F,F,03/21/2022,18:16:08,.642475260
11,2.243543822944e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999902114272,Volt DC,1,T,2W,F,F,03/21/2022,18:16:09,.187287440
12,3.075368570915e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099904701114,Volt DC,1,T,2W,F,F,03/21/2022,18:16:09,.732088720
13,4.127508890228e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199962422252,Volt DC,1,T,2W,F,F,03/21/2022,18:16:10,.276911340
14,5.466100350127e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1299977898598,Volt DC,1,T,2W,F,F,03/21/2022,18:16:10,.821724580
15,7.220241071693e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1400010436773,Volt DC,1,T,2W,F,F,03/21/2022,18:16:11,.366542600
16,9.452085780737e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1500011533499,Volt DC,1,T,2W,F,F,03/21/2022,18:16:11,.911368380
17,1.230749613335e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1600088626146,Volt DC,1,T,2W,F,F,03/21/2022,18:16:12,.456191240
18,1.598108645418e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1700061708689,Volt DC,1,T,2W,F,F,03/21/2022,18:16:13,.001010140
19,2.063041293354e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1800106316805,Volt DC,1,T,2W,F,F,03/21/2022,18:16:13,.545834800
20,2.663466114328e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1900161355734,Volt DC,1,T,2W,F,F,03/21/2022,18:16:14,.090665000
21,3.432139905613e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2000199109316,Volt DC,1,T,2W,F,F,03/21/2022,18:16:14,.635507580
22,4.416734533663e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2100213021040,Volt DC,1,T,2W,F,F,03/21/2022,18:16:15,.180318000
23,5.673070457846e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2199931293726,Volt DC,1,T,2W,F,F,03/21/2022,18:16:15,.725133900
24,7.295357651316e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2299944460392,Volt DC,1,T,2W,F,F,03/21/2022,18:16:16,.269944320
25,9.384682364555e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2399912923574,Volt DC,1,T,2W,F,F,03/21/2022,18:16:16,.814762300
26,1.206176669655e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2499944269657,Volt DC,1,T,2W,F,F,03/21/2022,18:16:17,.966310760
27,1.552514561354e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2599959969521,Volt DC,1,T,2W,F,F,03/21/2022,18:16:18,.461185740
28,2.00104803838e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2699994742870,Volt DC,1,T,2W,F,F,03/21/2022,18:16:18,.956023600
29,2.582688907182e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2799980938435,Volt DC,1,T,2W,F,F,03/21/2022,18:16:19,.450876160
30,3.338600507163e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2900029718876,Volt DC,1,T,2W,F,F,03/21/2022,18:16:19,.945703680
31,4.324122926391e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2999993860722,Volt DC,1,T,2W,F,F,03/21/2022,18:16:20,.440539760
32,5.61330963933e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3099938035011,Volt DC,1,T,2W,F,F,03/21/2022,18:16:20,.935373820
33,7.309190408478e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3199977576733,Volt DC,1,T,2W,F,F,03/21/2022,18:16:21,.430193320
34,9.544150003649e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3299938142300,Volt DC,1,T,2W,F,F,03/21/2022,18:16:21,.925044980
35,1.251609091923e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3400183320045,Volt DC,1,T,2W,F,F,03/21/2022,18:16:22,.926048040
36,1.646311034165e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3500199317932,Volt DC,1,T,2W,F,F,03/21/2022,18:16:23,.026556760
37,2.172822917146e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3599908649921,Volt DC,1,T,2W,F,F,03/21/2022,18:16:23,.127044840
38,2.883092804495e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3699899017811,Volt DC,1,T,2W,F,F,03/21/2022,18:16:23,.227507620
39,3.843510683055e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3799898028374,Volt DC,1,T,2W,F,F,03/21/2022,18:16:23,.327985360
40,5.149275352778e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3899884223938,Volt DC,1,T,2W,F,F,03/21/2022,18:16:23,.428467560
41,6.934742486919e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3999900519848,Volt DC,1,T,2W,F,F,03/21/2022,18:16:23,.528946380
42,9.385091743752e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4099781215191,Volt DC,1,T,2W,F,F,03/21/2022,18:16:23,.629409700
43,1.278301056118e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.4200052618980,Volt DC,1,T,2W,F,F,03/21/2022,18:16:24,.047534440
44,1.749151465447e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.4300099909306,Volt DC,1,T,2W,F,F,03/21/2022,18:16:24,.132301780
45,2.405002078376e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.4400106668472,Volt DC,1,T,2W,F,F,03/21/2022,18:16:24,.217078160
46,3.321430085634e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.4500069022179,Volt DC,1,T,2W,F,F,03/21/2022,18:16:24,.301852400
47,4.607203209162e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.4600097239017,Volt DC,1,T,2W,F,F,03/21/2022,18:16:24,.386606380
48,6.410170044546e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.4700044393539,Volt DC,1,T,2W,F,F,03/21/2022,18:16:24,.471370880
49,8.940497536969e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.4799993038177,Volt DC,1,T,2W,F,F,03/21/2022,18:16:24,.556122840
50,1.248828266398e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.4900251030922,Volt DC,1,T,2W,F,F,03/21/2022,18:16:24,.953524480
51,1.741814048728e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.4999911785126,Volt DC,1,T,2W,F,F,03/21/2022,18:16:25,.037313380
52,2.426103674225e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.5099915862083,Volt DC,1,T,2W,F,F,03/21/2022,18:16:25,.121086140
53,3.362385905348e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.5199896097183,Volt DC,1,T,2W,F,F,03/21/2022,18:16:25,.204855900
54,4.625137080438e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.5299895405769,Volt DC,1,T,2W,F,F,03/21/2022,18:16:25,.288621140
55,6.293915794231e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.5399854183197,Volt DC,1,T,2W,F,F,03/21/2022,18:16:25,.372383520
56,8.449610322714e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.5499824881554,Volt DC,1,T,2W,F,F,03/21/2022,18:16:25,.456116360
