Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1647887304
Base Time Fractional,.230062140
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-4.75002502609e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000248316355,Volt DC,1,T,2W,F,F,03/21/2022,18:28:24,.230062140
2,-3.58869392536e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099934805185,Volt DC,1,T,2W,F,F,03/21/2022,18:28:24,.775208760
3,-2.90176754153e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0199960377067,Volt DC,1,T,2W,F,F,03/21/2022,18:28:25,.320038780
4,-2.776925217551e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300007704645,Volt DC,1,T,2W,F,F,03/21/2022,18:28:25,.864874780
5,8.561315718858e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0399995706975,Volt DC,1,T,2W,F,F,03/21/2022,18:28:26,.409688360
6,1.315931825313e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0500100962818,Volt DC,1,T,2W,F,F,03/21/2022,18:28:26,.954488020
7,2.803895136905e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0600108802319,Volt DC,1,T,2W,F,F,03/21/2022,18:28:27,.499319000
8,6.452115230982e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0700140669942,Volt DC,1,T,2W,F,F,03/21/2022,18:28:28,.044145920
9,1.055955184404e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0800149068236,Volt DC,1,T,2W,F,F,03/21/2022,18:28:28,.588972500
10,1.531489102202e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0899840220809,Volt DC,1,T,2W,F,F,03/21/2022,18:28:29,.133795760
11,2.150362526931e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999888703227,Volt DC,1,T,2W,F,F,03/21/2022,18:28:29,.678598200
12,2.928366715782e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099898442626,Volt DC,1,T,2W,F,F,03/21/2022,18:28:30,.223412940
13,3.94416416194e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199949532747,Volt DC,1,T,2W,F,F,03/21/2022,18:28:30,.768248360
14,5.248559364901e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1299971938133,Volt DC,1,T,2W,F,F,03/21/2022,18:28:31,.313075500
15,6.919983475129e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1400007009506,Volt DC,1,T,2W,F,F,03/21/2022,18:28:31,.857892840
16,9.071643436442e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1500006616116,Volt DC,1,T,2W,F,F,03/21/2022,18:28:32,.402694360
17,1.177393960106e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1600078493357,Volt DC,1,T,2W,F,F,03/21/2022,18:28:32,.947516860
18,1.52604895387e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1700060665607,Volt DC,1,T,2W,F,F,03/21/2022,18:28:33,.492340060
19,1.974270746885e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1800098717213,Volt DC,1,T,2W,F,F,03/21/2022,18:28:34,.037165980
20,2.54817522638e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1900154054165,Volt DC,1,T,2W,F,F,03/21/2022,18:28:34,.581963420
21,3.284989613661e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2000187337399,Volt DC,1,T,2W,F,F,03/21/2022,18:28:35,.126792720
22,4.226733185675e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2100210487843,Volt DC,1,T,2W,F,F,03/21/2022,18:28:35,.671588960
23,5.434770411483e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2199917882681,Volt DC,1,T,2W,F,F,03/21/2022,18:28:36,.216415580
24,6.990647172245e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2299937158823,Volt DC,1,T,2W,F,F,03/21/2022,18:28:36,.761237960
25,8.99555718803e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2399906814098,Volt DC,1,T,2W,F,F,03/21/2022,18:28:37,.306048540
26,1.156718809625e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2499936223030,Volt DC,1,T,2W,F,F,03/21/2022,18:28:38,.457569260
27,1.490533563242e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2599967122078,Volt DC,1,T,2W,F,F,03/21/2022,18:28:38,.952428520
28,1.923068637666e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2699985802174,Volt DC,1,T,2W,F,F,03/21/2022,18:28:39,.447282240
29,2.484733663266e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2799974083900,Volt DC,1,T,2W,F,F,03/21/2022,18:28:39,.942121600
30,3.216738875267e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2900032103062,Volt DC,1,T,2W,F,F,03/21/2022,18:28:40,.436941220
31,4.172476764097e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2999991178513,Volt DC,1,T,2W,F,F,03/21/2022,18:28:40,.931764240
32,5.426112892337e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3099946081638,Volt DC,1,T,2W,F,F,03/21/2022,18:28:41,.426609720
33,7.079325570203e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3199982345104,Volt DC,1,T,2W,F,F,03/21/2022,18:28:41,.921437740
34,9.263259670433e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3299952149391,Volt DC,1,T,2W,F,F,03/21/2022,18:28:42,.416275540
35,1.217371874418e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3400185704231,Volt DC,1,T,2W,F,F,03/21/2022,18:28:43,.417330220
