Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1647887771
Base Time Fractional,.692509600
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-4.992736432619e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000080506870,Volt DC,1,T,2W,F,F,03/21/2022,18:36:11,.692509600
2,-3.779733817599e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099935987964,Volt DC,1,T,2W,F,F,03/21/2022,18:36:12,.237350840
3,-3.10790178315e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0199960283935,Volt DC,1,T,2W,F,F,03/21/2022,18:36:12,.782172800
4,-1.630692976484e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300009902567,Volt DC,1,T,2W,F,F,03/21/2022,18:36:13,.327004520
5,-1.296755237912e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0399993285537,Volt DC,1,T,2W,F,F,03/21/2022,18:36:13,.871833460
6,1.698518929671e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0500102266669,Volt DC,1,T,2W,F,F,03/21/2022,18:36:14,.416651960
7,4.083445040437e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0600116290152,Volt DC,1,T,2W,F,F,03/21/2022,18:36:14,.961493560
8,7.235282512008e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0700135827065,Volt DC,1,T,2W,F,F,03/21/2022,18:36:15,.506335220
9,1.109831046509e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0800152644515,Volt DC,1,T,2W,F,F,03/21/2022,18:36:16,.051162760
10,1.614742506373e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0899851322174,Volt DC,1,T,2W,F,F,03/21/2022,18:36:16,.595978940
11,2.256660414091e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999890118837,Volt DC,1,T,2W,F,F,03/21/2022,18:36:17,.140788980
12,3.064968834288e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099890545011,Volt DC,1,T,2W,F,F,03/21/2022,18:36:17,.685612620
13,4.120188912271e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199949532747,Volt DC,1,T,2W,F,F,03/21/2022,18:36:18,.230449500
14,5.473698161396e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1299971640110,Volt DC,1,T,2W,F,F,03/21/2022,18:36:18,.775271320
15,7.195163354012e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1400001645088,Volt DC,1,T,2W,F,F,03/21/2022,18:36:19,.320093020
16,9.404823586578e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1500010937452,Volt DC,1,T,2W,F,F,03/21/2022,18:36:19,.864895780
17,1.226793333586e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1600069105625,Volt DC,1,T,2W,F,F,03/21/2022,18:36:20,.409727220
18,1.588295606147e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1700059026480,Volt DC,1,T,2W,F,F,03/21/2022,18:36:20,.954543540
19,2.04133243642e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1800094544888,Volt DC,1,T,2W,F,F,03/21/2022,18:36:21,.499358380
20,2.653605335468e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1900148242712,Volt DC,1,T,2W,F,F,03/21/2022,18:36:22,.044167720
21,3.39837158414e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2000178992748,Volt DC,1,T,2W,F,F,03/21/2022,18:36:22,.588992720
22,4.375368956033e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2100206315517,Volt DC,1,T,2W,F,F,03/21/2022,18:36:23,.133805260
23,5.615028442207e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2199915051460,Volt DC,1,T,2W,F,F,03/21/2022,18:36:23,.678636300
24,7.210744445985e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2299941182137,Volt DC,1,T,2W,F,F,03/21/2022,18:36:24,.223445060
25,9.272933532145e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2399901598692,Volt DC,1,T,2W,F,F,03/21/2022,18:36:24,.768266940
26,1.192189102994e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2499936521053,Volt DC,1,T,2W,F,F,03/21/2022,18:36:25,.919787180
27,1.535623361804e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2599956393242,Volt DC,1,T,2W,F,F,03/21/2022,18:36:26,.414658100
28,1.980676422875e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2699990868568,Volt DC,1,T,2W,F,F,03/21/2022,18:36:26,.909500440
29,2.558230072225e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2799976170063,Volt DC,1,T,2W,F,F,03/21/2022,18:36:27,.404326140
30,3.311716767485e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2900021970272,Volt DC,1,T,2W,F,F,03/21/2022,18:36:27,.899148160
31,4.295414512967e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2999986112118,Volt DC,1,T,2W,F,F,03/21/2022,18:36:28,.393966780
32,5.588085016939e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3099940419197,Volt DC,1,T,2W,F,F,03/21/2022,18:36:28,.888792500
33,7.292831583072e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3199977278709,Volt DC,1,T,2W,F,F,03/21/2022,18:36:29,.383631920
34,9.548190860187e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3299943804741,Volt DC,1,T,2W,F,F,03/21/2022,18:36:29,.878468540
35,1.255809394252e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3400177061558,Volt DC,1,T,2W,F,F,03/21/2022,18:36:30,.879505900
36,1.65747010783e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3500196933746,Volt DC,1,T,2W,F,F,03/21/2022,18:36:30,.980007540
37,2.195490793611e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3599903285503,Volt DC,1,T,2W,F,F,03/21/2022,18:36:31,.080498860
38,2.92426022952e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3699902594090,Volt DC,1,T,2W,F,F,03/21/2022,18:36:31,.180963380
39,3.913865214145e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3799889385700,Volt DC,1,T,2W,F,F,03/21/2022,18:36:31,.281445900
40,5.26478345364e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3899881243706,Volt DC,1,T,2W,F,F,03/21/2022,18:36:31,.381923600
41,7.118252369764e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3999889194965,Volt DC,1,T,2W,F,F,03/21/2022,18:36:31,.482412360
42,9.668910934124e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4099768102169,Volt DC,1,T,2W,F,F,03/21/2022,18:36:31,.582873020
