Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1647885722
Base Time Fractional,.613700280
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-4.266921538321e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000083927152,Volt DC,1,T,2W,F,F,03/21/2022,18:02:02,.613700280
2,-3.793097433369e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099936220795,Volt DC,1,T,2W,F,F,03/21/2022,18:02:03,.158535540
3,-3.778578491764e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0199961923063,Volt DC,1,T,2W,F,F,03/21/2022,18:02:03,.703366620
4,-2.290334241706e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300016496330,Volt DC,1,T,2W,F,F,03/21/2022,18:02:04,.248187240
5,-1.371720792509e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0399997904897,Volt DC,1,T,2W,F,F,03/21/2022,18:02:04,.792998160
6,1.106934509332e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0500099994242,Volt DC,1,T,2W,F,F,03/21/2022,18:02:05,.337805020
7,4.73774318388e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0600121133029,Volt DC,1,T,2W,F,F,03/21/2022,18:02:05,.882631740
8,6.092183008066e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0700144469738,Volt DC,1,T,2W,F,F,03/21/2022,18:02:06,.427467060
9,9.208037110575e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0800150930882,Volt DC,1,T,2W,F,F,03/21/2022,18:02:06,.972270040
10,1.360924428706e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0899846628308,Volt DC,1,T,2W,F,F,03/21/2022,18:02:07,.517092060
11,2.034082208224e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999891236424,Volt DC,1,T,2W,F,F,03/21/2022,18:02:08,.061895480
12,2.754495798118e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099898517132,Volt DC,1,T,2W,F,F,03/21/2022,18:02:08,.606714800
13,3.716945362608e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199956461787,Volt DC,1,T,2W,F,F,03/21/2022,18:02:09,.151546060
14,4.94546181784e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1299979388714,Volt DC,1,T,2W,F,F,03/21/2022,18:02:09,.696356800
15,6.532301366491e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1400013417006,Volt DC,1,T,2W,F,F,03/21/2022,18:02:10,.241182500
