Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1647889080
Base Time Fractional,.892129080
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-4.19316317779e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0000240322406,Volt DC,1,T,2W,F,F,03/21/2022,18:58:00,.892129080
2,-3.535268605637e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099922139198,Volt DC,1,T,2W,F,F,03/21/2022,18:58:01,.437278940
3,-2.522590469844e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0199955534190,Volt DC,1,T,2W,F,F,03/21/2022,18:58:01,.982104540
4,-1.281713624124e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300003066659,Volt DC,1,T,2W,F,F,03/21/2022,18:58:02,.526932700
5,1.565604200102e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0399990640581,Volt DC,1,T,2W,F,F,03/21/2022,18:58:03,.071778500
6,2.068329535421e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0500083006918,Volt DC,1,T,2W,F,F,03/21/2022,18:58:03,.616582160
7,4.554855451144e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0600113868713,Volt DC,1,T,2W,F,F,03/21/2022,18:58:04,.161411840
8,7.65153912452e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0700132250786,Volt DC,1,T,2W,F,F,03/21/2022,18:58:04,.706245560
9,1.163356355693e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0800145640969,Volt DC,1,T,2W,F,F,03/21/2022,18:58:05,.251069000
10,1.673492316945e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0899835079908,Volt DC,1,T,2W,F,F,03/21/2022,18:58:05,.795883180
11,2.330331760891e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999881625175,Volt DC,1,T,2W,F,F,03/21/2022,18:58:06,.340686680
12,3.165000206362e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099894568324,Volt DC,1,T,2W,F,F,03/21/2022,18:58:06,.885492160
13,4.218476679085e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199940368533,Volt DC,1,T,2W,F,F,03/21/2022,18:58:07,.430329920
14,5.595088281574e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1299972981215,Volt DC,1,T,2W,F,F,03/21/2022,18:58:07,.975151580
