Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,151
Base Time Seconds,1647879097
Base Time Fractional,.950377260
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-3.145224747314e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-24.9972000122070,Volt DC,100,T,2W,F,F,03/21/2022,16:11:37,.950377260
2,-3.139678517172e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0169296264648,Volt DC,100,T,2W,F,F,03/21/2022,16:11:38,.495205220
3,-3.128929781937e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0364303588867,Volt DC,100,T,2W,F,F,03/21/2022,16:11:39,.040027900
4,-3.129410730551e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0596027374268,Volt DC,100,T,2W,F,F,03/21/2022,16:11:39,.584832140
5,-3.127541781112e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0794544219971,Volt DC,100,T,2W,F,F,03/21/2022,16:11:40,.129678400
6,-3.128841852273e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0993423461914,Volt DC,100,T,2W,F,F,03/21/2022,16:11:40,.674504420
7,-3.126071401738e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1191482543945,Volt DC,100,T,2W,F,F,03/21/2022,16:11:41,.219299280
8,-3.127158754168e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1388339996338,Volt DC,100,T,2W,F,F,03/21/2022,16:11:41,.764104980
9,-3.125944170179e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1586475372314,Volt DC,100,T,2W,F,F,03/21/2022,16:11:42,.308905700
10,-3.126562342359e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1784477233887,Volt DC,100,T,2W,F,F,03/21/2022,16:11:42,.853724900
11,-3.130061099199e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1982479095459,Volt DC,100,T,2W,F,F,03/21/2022,16:11:43,.398542220
12,-3.135573800606e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2180271148682,Volt DC,100,T,2W,F,F,03/21/2022,16:11:43,.943343340
13,-3.130483428038e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2378463745117,Volt DC,100,T,2W,F,F,03/21/2022,16:11:44,.488157940
14,-3.142642590603e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2579727172852,Volt DC,100,T,2W,F,F,03/21/2022,16:11:45,.032960620
15,-3.141684468133e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2778606414795,Volt DC,100,T,2W,F,F,03/21/2022,16:11:45,.577794120
16,-3.136159332229e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2976646423340,Volt DC,100,T,2W,F,F,03/21/2022,16:11:46,.122631420
17,-3.139012827447e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3175964355469,Volt DC,100,T,2W,F,F,03/21/2022,16:11:46,.667445000
18,-3.136434667539e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3374328613281,Volt DC,100,T,2W,F,F,03/21/2022,16:11:47,.212261800
19,-3.1436058201e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3571338653564,Volt DC,100,T,2W,F,F,03/21/2022,16:11:47,.757064820
20,-3.14377124333e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3770503997803,Volt DC,100,T,2W,F,F,03/21/2022,16:11:48,.301905220
21,-3.14361936482e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4000740051270,Volt DC,100,T,2W,F,F,03/21/2022,16:11:48,.846732540
22,-3.141075621826e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4200992584229,Volt DC,100,T,2W,F,F,03/21/2022,16:11:49,.391528220
23,-3.146201743576e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4398994445801,Volt DC,100,T,2W,F,F,03/21/2022,16:11:49,.936342500
24,-3.146585436653e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4594402313232,Volt DC,100,T,2W,F,F,03/21/2022,16:11:50,.481170140
25,-3.15750203761e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4792938232422,Volt DC,100,T,2W,F,F,03/21/2022,16:11:51,.025987940
26,-3.155429695312e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4991817474365,Volt DC,100,T,2W,F,F,03/21/2022,16:11:51,.570815080
27,-3.157022643308e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5190620422363,Volt DC,100,T,2W,F,F,03/21/2022,16:11:52,.115638780
28,-3.153386218813e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5388736724854,Volt DC,100,T,2W,F,F,03/21/2022,16:11:52,.660450800
29,-3.15992987332e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5585861206055,Volt DC,100,T,2W,F,F,03/21/2022,16:11:53,.205265800
30,-3.1617477525e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5785369873047,Volt DC,100,T,2W,F,F,03/21/2022,16:11:53,.750085920
31,-3.165057549381e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5983619689941,Volt DC,100,T,2W,F,F,03/21/2022,16:11:54,.294896380
32,-3.169668305603e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6181831359863,Volt DC,100,T,2W,F,F,03/21/2022,16:11:54,.839704140
33,-3.166723105963e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6380443572998,Volt DC,100,T,2W,F,F,03/21/2022,16:11:55,.384505520
34,-3.170133267005e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6578979492188,Volt DC,100,T,2W,F,F,03/21/2022,16:11:55,.929340500
35,-3.171549467496e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6773738861084,Volt DC,100,T,2W,F,F,03/21/2022,16:11:56,.474162360
36,-3.17425330465e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6972732543945,Volt DC,100,T,2W,F,F,03/21/2022,16:11:57,.018975560
37,-3.172681894981e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.7170314788818,Volt DC,100,T,2W,F,F,03/21/2022,16:11:57,.563778360
38,-3.175368856745e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.7401733398438,Volt DC,100,T,2W,F,F,03/21/2022,16:11:58,.108581340
39,-3.181111596362e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.7599945068359,Volt DC,100,T,2W,F,F,03/21/2022,16:11:58,.653407540
40,-3.182309304961e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.7798080444336,Volt DC,100,T,2W,F,F,03/21/2022,16:11:59,.198250400
41,-3.183471264379e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.7996006011963,Volt DC,100,T,2W,F,F,03/21/2022,16:11:59,.743067520
42,-3.187307529018e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.8194503784180,Volt DC,100,T,2W,F,F,03/21/2022,16:12:00,.287863040
43,-3.188679542632e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.8393325805664,Volt DC,100,T,2W,F,F,03/21/2022,16:12:00,.832683580
44,-3.1836082659e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.8591403961182,Volt DC,100,T,2W,F,F,03/21/2022,16:12:01,.377514980
45,-3.19383453018e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.8786449432373,Volt DC,100,T,2W,F,F,03/21/2022,16:12:01,.922337780
46,-3.197516029729e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.8985233306885,Volt DC,100,T,2W,F,F,03/21/2022,16:12:02,.467137640
47,-3.201173992551e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.9183769226074,Volt DC,100,T,2W,F,F,03/21/2022,16:12:03,.011963420
48,-3.197987208381e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.9382343292236,Volt DC,100,T,2W,F,F,03/21/2022,16:12:03,.556785260
49,-3.198886711075e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.9579372406006,Volt DC,100,T,2W,F,F,03/21/2022,16:12:04,.101587760
50,-3.201628295812e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.9778556823730,Volt DC,100,T,2W,F,F,03/21/2022,16:12:04,.646426940
51,-3.19958948225e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.9976520538330,Volt DC,100,T,2W,F,F,03/21/2022,16:12:05,.191231700
52,-3.207796028804e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.0174598693848,Volt DC,100,T,2W,F,F,03/21/2022,16:12:05,.736074640
53,-3.202574871963e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.0373477935791,Volt DC,100,T,2W,F,F,03/21/2022,16:12:06,.280896920
54,-3.207764276425e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.0571422576904,Volt DC,100,T,2W,F,F,03/21/2022,16:12:06,.825726220
55,-3.214253085915e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.0769710540771,Volt DC,100,T,2W,F,F,03/21/2022,16:12:07,.370536320
56,-3.213884269826e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.1001625061035,Volt DC,100,T,2W,F,F,03/21/2022,16:12:07,.915349580
57,-3.218247224268e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.1199913024902,Volt DC,100,T,2W,F,F,03/21/2022,16:12:08,.460151740
58,-3.222328182062e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.1397800445557,Volt DC,100,T,2W,F,F,03/21/2022,16:12:09,.004965840
59,-3.219827293677e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.1596279144287,Volt DC,100,T,2W,F,F,03/21/2022,16:12:09,.549768780
60,-3.22488946658e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.1795406341553,Volt DC,100,T,2W,F,F,03/21/2022,16:12:10,.094584120
61,-3.232654144369e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-26.1992092132568,Volt DC,100,T,2W,F,F,03/21/2022,16:12:10,.639396780
