Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,151
Base Time Seconds,1647886303
Base Time Fractional,.093624580
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-2.533075083022e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-24.9974613189697,Volt DC,100,T,2W,F,F,03/21/2022,18:11:43,.093624580
2,-2.520038622222e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0173015594482,Volt DC,100,T,2W,F,F,03/21/2022,18:11:43,.638466760
3,-2.507618557246e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0367622375488,Volt DC,100,T,2W,F,F,03/21/2022,18:11:44,.183313600
4,-2.50167864202e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0599746704102,Volt DC,100,T,2W,F,F,03/21/2022,18:11:44,.728151140
5,-2.475297744553e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0798397064209,Volt DC,100,T,2W,F,F,03/21/2022,18:11:45,.272972300
6,-2.505329277369e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0996131896973,Volt DC,100,T,2W,F,F,03/21/2022,18:11:45,.817789500
7,-2.50067810903e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1195144653320,Volt DC,100,T,2W,F,F,03/21/2022,18:11:46,.362620060
8,-2.502455798137e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1391963958740,Volt DC,100,T,2W,F,F,03/21/2022,18:11:46,.907446780
9,-2.496398643359e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1590442657471,Volt DC,100,T,2W,F,F,03/21/2022,18:11:47,.452269380
10,-2.502195783904e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1788406372070,Volt DC,100,T,2W,F,F,03/21/2022,18:11:47,.997081020
11,-2.499238593856e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1985778808594,Volt DC,100,T,2W,F,F,03/21/2022,18:11:48,.541891460
12,-2.49965781407e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2184009552002,Volt DC,100,T,2W,F,F,03/21/2022,18:11:49,.086726100
13,-2.504262575087e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2382316589355,Volt DC,100,T,2W,F,F,03/21/2022,18:11:49,.631542660
14,-2.500458284871e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2583198547363,Volt DC,100,T,2W,F,F,03/21/2022,18:11:50,.176354780
15,-2.498273588003e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2782192230225,Volt DC,100,T,2W,F,F,03/21/2022,18:11:50,.721175880
16,-2.507943630548e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2980251312256,Volt DC,100,T,2W,F,F,03/21/2022,18:11:51,.265982140
17,-2.488950823221e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3179912567139,Volt DC,100,T,2W,F,F,03/21/2022,18:11:51,.810805260
18,-2.505422980192e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3378810882568,Volt DC,100,T,2W,F,F,03/21/2022,18:11:52,.355633920
19,-2.508351526487e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3575248718262,Volt DC,100,T,2W,F,F,03/21/2022,18:11:52,.900454380
20,-2.502263285464e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3774242401123,Volt DC,100,T,2W,F,F,03/21/2022,18:11:53,.445264340
21,-2.508931506995e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4005107879639,Volt DC,100,T,2W,F,F,03/21/2022,18:11:53,.990089700
22,-2.510649688148e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4204177856445,Volt DC,100,T,2W,F,F,03/21/2022,18:11:54,.534928700
23,-2.511711061359e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4402828216553,Volt DC,100,T,2W,F,F,03/21/2022,18:11:55,.079763180
24,-2.509348728807e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4597930908203,Volt DC,100,T,2W,F,F,03/21/2022,18:11:55,.624567160
25,-2.51594567402e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4796218872070,Volt DC,100,T,2W,F,F,03/21/2022,18:11:56,.169376520
26,-2.5127506742e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4995441436768,Volt DC,100,T,2W,F,F,03/21/2022,18:11:56,.714180540
27,-2.506538088198e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5194530487061,Volt DC,100,T,2W,F,F,03/21/2022,18:11:57,.259005840
28,-2.520715414178e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5392932891846,Volt DC,100,T,2W,F,F,03/21/2022,18:11:57,.803832400
29,-2.521560737989e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5589656829834,Volt DC,100,T,2W,F,F,03/21/2022,18:11:58,.348640440
30,-2.518349084824e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5788974761963,Volt DC,100,T,2W,F,F,03/21/2022,18:11:58,.893441660
31,-2.530857079464e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5987091064453,Volt DC,100,T,2W,F,F,03/21/2022,18:11:59,.438273880
32,-2.519305430937e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6185092926025,Volt DC,100,T,2W,F,F,03/21/2022,18:11:59,.983109260
33,-2.527890119453e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6383323669434,Volt DC,100,T,2W,F,F,03/21/2022,18:12:00,.527923100
34,-2.526426623461e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6581172943115,Volt DC,100,T,2W,F,F,03/21/2022,18:12:01,.072738560
35,-2.531935772154e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6776294708252,Volt DC,100,T,2W,F,F,03/21/2022,18:12:01,.617558280
