Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,151
Base Time Seconds,1647887056
Base Time Fractional,.063273160
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-2.774542595674e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-24.9975090026855,Volt DC,100,T,2W,F,F,03/21/2022,18:24:16,.063273160
2,-2.754915406911e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0173225402832,Volt DC,100,T,2W,F,F,03/21/2022,18:24:16,.608096280
3,-2.749027228077e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0368003845215,Volt DC,100,T,2W,F,F,03/21/2022,18:24:17,.152918220
4,-2.714284130789e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0599956512451,Volt DC,100,T,2W,F,F,03/21/2022,18:24:17,.697749960
5,-2.725472736387e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0797634124756,Volt DC,100,T,2W,F,F,03/21/2022,18:24:18,.242565620
6,-2.746762817196e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0996589660645,Volt DC,100,T,2W,F,F,03/21/2022,18:24:18,.787381320
7,-2.735719872859e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1195945739746,Volt DC,100,T,2W,F,F,03/21/2022,18:24:19,.332185880
8,-2.748359984039e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1392250061035,Volt DC,100,T,2W,F,F,03/21/2022,18:24:19,.877028140
9,-2.753627548202e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1590194702148,Volt DC,100,T,2W,F,F,03/21/2022,18:24:20,.421842500
10,-2.748133276498e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1788520812988,Volt DC,100,T,2W,F,F,03/21/2022,18:24:20,.966662660
11,-2.733522519449e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1986865997314,Volt DC,100,T,2W,F,F,03/21/2022,18:24:21,.511479520
12,-2.732067239108e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2185173034668,Volt DC,100,T,2W,F,F,03/21/2022,18:24:22,.056314740
13,-2.736167070694e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2383422851563,Volt DC,100,T,2W,F,F,03/21/2022,18:24:22,.601145920
14,-2.737692961219e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2583789825439,Volt DC,100,T,2W,F,F,03/21/2022,18:24:23,.145971080
15,-2.732572834674e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2782840728760,Volt DC,100,T,2W,F,F,03/21/2022,18:24:23,.690777560
16,-2.73124856065e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2980422973633,Volt DC,100,T,2W,F,F,03/21/2022,18:24:24,.235591820
17,-2.736338933218e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3180866241455,Volt DC,100,T,2W,F,F,03/21/2022,18:24:24,.780433260
18,-2.740301319193e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3378829956055,Volt DC,100,T,2W,F,F,03/21/2022,18:24:25,.325262260
19,-2.738291371429e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3576393127441,Volt DC,100,T,2W,F,F,03/21/2022,18:24:25,.870084320
20,-2.743419935669e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3774776458740,Volt DC,100,T,2W,F,F,03/21/2022,18:24:26,.414905260
21,-2.745847105246e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4005489349365,Volt DC,100,T,2W,F,F,03/21/2022,18:24:26,.959726180
