Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,151
Base Time Seconds,1647887832
Base Time Fractional,.485256020
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-3.080875110584e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-24.9975051879883,Volt DC,100,T,2W,F,F,03/21/2022,18:37:12,.485256020
2,-3.072427645634e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0172920227051,Volt DC,100,T,2W,F,F,03/21/2022,18:37:13,.030104360
3,-3.057985198396e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0368270874023,Volt DC,100,T,2W,F,F,03/21/2022,18:37:13,.574925540
4,-3.044694274479e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0599651336670,Volt DC,100,T,2W,F,F,03/21/2022,18:37:14,.119753280
5,-3.03720737449e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0798721313477,Volt DC,100,T,2W,F,F,03/21/2022,18:37:14,.664573780
6,-3.06009306783e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0996284484863,Volt DC,100,T,2W,F,F,03/21/2022,18:37:15,.209400740
7,-3.022430972166e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1195392608643,Volt DC,100,T,2W,F,F,03/21/2022,18:37:15,.754208640
8,-3.071345622274e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1391162872314,Volt DC,100,T,2W,F,F,03/21/2022,18:37:16,.299028880
9,-3.054797526048e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1590366363525,Volt DC,100,T,2W,F,F,03/21/2022,18:37:16,.843838800
10,-3.051323416159e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1787967681885,Volt DC,100,T,2W,F,F,03/21/2022,18:37:17,.388678460
11,-3.057137654139e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1986217498779,Volt DC,100,T,2W,F,F,03/21/2022,18:37:17,.933506180
12,-3.053548969234e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2184638977051,Volt DC,100,T,2W,F,F,03/21/2022,18:37:18,.478335800
13,-3.053652886109e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2383155822754,Volt DC,100,T,2W,F,F,03/21/2022,18:37:19,.023160840
14,-3.060391273735e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2584800720215,Volt DC,100,T,2W,F,F,03/21/2022,18:37:19,.567986940
15,-3.05460523542e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2782897949219,Volt DC,100,T,2W,F,F,03/21/2022,18:37:20,.112815060
16,-3.057656350336e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2981109619141,Volt DC,100,T,2W,F,F,03/21/2022,18:37:20,.657634200
17,-3.060024011958e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3180999755859,Volt DC,100,T,2W,F,F,03/21/2022,18:37:21,.202466900
18,-3.060348197081e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3379287719727,Volt DC,100,T,2W,F,F,03/21/2022,18:37:21,.747302500
19,-3.060071085415e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3576698303223,Volt DC,100,T,2W,F,F,03/21/2022,18:37:22,.292127800
20,-3.068997278532e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.3774814605713,Volt DC,100,T,2W,F,F,03/21/2022,18:37:22,.836939860
21,-3.066133347218e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4005928039551,Volt DC,100,T,2W,F,F,03/21/2022,18:37:23,.381764800
22,-3.063128639624e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4204845428467,Volt DC,100,T,2W,F,F,03/21/2022,18:37:23,.926603880
23,-3.066824127984e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4403038024902,Volt DC,100,T,2W,F,F,03/21/2022,18:37:24,.471427080
24,-3.065766529531e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4598999023438,Volt DC,100,T,2W,F,F,03/21/2022,18:37:25,.016254100
25,-3.065884213171e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4797115325928,Volt DC,100,T,2W,F,F,03/21/2022,18:37:25,.561067140
26,-3.072729404252e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.4996166229248,Volt DC,100,T,2W,F,F,03/21/2022,18:37:26,.105884640
27,-3.078234778187e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5194683074951,Volt DC,100,T,2W,F,F,03/21/2022,18:37:26,.650733080
28,-3.078239885212e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5393047332764,Volt DC,100,T,2W,F,F,03/21/2022,18:37:27,.195563280
29,-3.073954202293e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5589084625244,Volt DC,100,T,2W,F,F,03/21/2022,18:37:27,.740395380
30,-3.069692500191e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5787811279297,Volt DC,100,T,2W,F,F,03/21/2022,18:37:28,.285197320
31,-3.076988441819e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.5986995697021,Volt DC,100,T,2W,F,F,03/21/2022,18:37:28,.830049480
32,-3.081910948666e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6185913085938,Volt DC,100,T,2W,F,F,03/21/2022,18:37:29,.374895620
33,-3.085172339823e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6383743286133,Volt DC,100,T,2W,F,F,03/21/2022,18:37:29,.919727320
34,-3.083366451051e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6581630706787,Volt DC,100,T,2W,F,F,03/21/2022,18:37:30,.464532680
35,-3.090572020525e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6777286529541,Volt DC,100,T,2W,F,F,03/21/2022,18:37:31,.009354220
36,-3.088910904836e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.6977062225342,Volt DC,100,T,2W,F,F,03/21/2022,18:37:31,.554188040
37,-3.084614341731e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.7174282073975,Volt DC,100,T,2W,F,F,03/21/2022,18:37:32,.099015980
38,-3.096450429396e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.7406368255615,Volt DC,100,T,2W,F,F,03/21/2022,18:37:32,.643845780
39,-3.097417433651e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.7603988647461,Volt DC,100,T,2W,F,F,03/21/2022,18:37:33,.188672740
40,-3.099428047548e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.7801761627197,Volt DC,100,T,2W,F,F,03/21/2022,18:37:33,.733470440
41,-3.103805212845e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.8000354766846,Volt DC,100,T,2W,F,F,03/21/2022,18:37:34,.278295100
42,-3.108529655904e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.8198299407959,Volt DC,100,T,2W,F,F,03/21/2022,18:37:34,.823113380
