Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,151
Base Time Seconds,1647888458
Base Time Fractional,.413537360
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-3.056639386045e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-24.9975471496582,Volt DC,100,T,2W,F,F,03/21/2022,18:47:38,.413537360
2,-2.989691161304e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0172729492188,Volt DC,100,T,2W,F,F,03/21/2022,18:47:38,.958373540
3,-3.026257244798e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0368347167969,Volt DC,100,T,2W,F,F,03/21/2022,18:47:39,.503214980
4,-3.017091687596e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0600128173828,Volt DC,100,T,2W,F,F,03/21/2022,18:47:40,.048050840
5,-3.014483995756e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0798778533936,Volt DC,100,T,2W,F,F,03/21/2022,18:47:40,.592883860
6,-3.008412630123e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0997180938721,Volt DC,100,T,2W,F,F,03/21/2022,18:47:41,.137707600
7,-3.006471072098e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1195430755615,Volt DC,100,T,2W,F,F,03/21/2022,18:47:41,.682539180
8,-3.009952731503e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1392345428467,Volt DC,100,T,2W,F,F,03/21/2022,18:47:42,.227385540
9,-3.011268789876e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1590633392334,Volt DC,100,T,2W,F,F,03/21/2022,18:47:42,.772210760
10,-3.000265369479e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1789550781250,Volt DC,100,T,2W,F,F,03/21/2022,18:47:43,.317031280
11,-3.012118998669e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1986351013184,Volt DC,100,T,2W,F,F,03/21/2022,18:47:43,.861848960
12,-3.011838556333e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.2185001373291,Volt DC,100,T,2W,F,F,03/21/2022,18:47:44,.406686020
