Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,151
Base Time Seconds,1647888594
Base Time Fractional,.901958020
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-3.191459541085e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-24.9975833892822,Volt DC,100,T,2W,F,F,03/21/2022,18:49:54,.901958020
2,-3.179755347915e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0173511505127,Volt DC,100,T,2W,F,F,03/21/2022,18:49:55,.446790600
3,-3.160809392e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0368595123291,Volt DC,100,T,2W,F,F,03/21/2022,18:49:55,.991616840
4,-3.159184247536e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0600929260254,Volt DC,100,T,2W,F,F,03/21/2022,18:49:56,.536447660
5,-3.157690775524e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0799751281738,Volt DC,100,T,2W,F,F,03/21/2022,18:49:57,.081274880
6,-3.165158357632e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.0997848510742,Volt DC,100,T,2W,F,F,03/21/2022,18:49:57,.626087940
7,-3.145223193002e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1195316314697,Volt DC,100,T,2W,F,F,03/21/2022,18:49:58,.170905860
8,-3.159131178876e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1392822265625,Volt DC,100,T,2W,F,F,03/21/2022,18:49:58,.715722460
9,-3.146842342261e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1591567993164,Volt DC,100,T,2W,F,F,03/21/2022,18:49:59,.260553580
10,-3.152804239903e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1790122985840,Volt DC,100,T,2W,F,F,03/21/2022,18:49:59,.805393580
11,-3.151622518516e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-25.1987495422363,Volt DC,100,T,2W,F,F,03/21/2022,18:50:00,.350212880
